workbook,sheet,cell,formula,cached_or_converted_value
14nov.xls,toll,M14,"=L14+MAX(K14,Y$10:Y13)",67.3044468207383
14nov.xls,toll,N14,=K14,57.3044468207383
14nov.xls,toll,O14,=M14-K14,9.99999999999999
14nov.xls,toll,P14,=N14-K14,0
14nov.xls,toll,Q14,"=A14-MATCH(K14,$M$9:M13,1)",0
14nov.xls,toll,R14,=-G14*(O14/3600),-0.0319186088312161
14nov.xls,toll,S14,=-1*I14-(H14*(P14/3600)),-19.5
14nov.xls,toll,T14,=-H14*(O14/3600),-0.027002412173091
14nov.xls,toll,U14,=T14-S14,19.4729975878269
14nov.xls,toll,V14,=1/(1+EXP(U14)),3.49127935228747e-09
14nov.xls,toll,W14,=RAND(),0.9595651124483
14nov.xls,toll,X14,"=IF(W14<V14,1,0)",0
14nov.xls,toll,Y14,=(M14*(1-X14)+N14*X14)*D14+M14*E14,67.3044468207383
14nov.xls,toll,Z14,=((1-X14)*O14+X14*P14)*D14+E14*O14,9.99999999999999
14nov.xls,toll,AA14,"=IF(D14*X14>0,AA13,Q14)",0
14nov.xls,toll,AB14,=(X14*D14),0
14nov.xls,toll,AC14,=SUM(AB$10:AB13)/K14,0
14nov.xls,toll,AD14,=R14*E14+D14*(X14*S14+(1-X14)*T14),-0.0319186088312161
14nov.xls,toll,AE14,=Z14,9.99999999999999
14nov.xls,toll,AF14,=E14*O14,9.99999999999999
14nov.xls,toll,AG14,=((1-X14)*O14+X14*P14)*D14,0
14nov.xls,toll,AH14,=D14*(LN(EXP(S14)+EXP(T14))),0
14nov.xls,toll,AJ14,=$J$5,10
14nov.xls,toll,AK14,"=AJ14+MAX(K14,AK$10:AK13)",67.3044468207383
14nov.xls,toll,AL14,=AK14-K14,9.99999999999999
14nov.xls,toll,AM14,=-G14*AL14/3600,-0.0319186088312161
14nov.xls,toll,AN14,=-H14*AL14/3600,-0.027002412173091
14nov.xls,toll,AO14,=AM14*E14+AN14*D14,-0.0319186088312161
14nov.xls,toll,AP14,=AL14*D14,0
14nov.xls,toll,AR14,=AN14*D14,0
14nov.xls,toll,AS14,=AH14-AR14,0
14nov.xls,toll,A15,=A14+1,6
14nov.xls,toll,B15,"=IF(A15<$N$4/3,0.1,(IF(A15>2*$N$4/3,0.05,0.12)))",0.1
14nov.xls,toll,C15,=RAND(),0.79328428085671
14nov.xls,toll,D15,"=IF((C15>$M$2),1,0)",0
14nov.xls,toll,E15,=1-D15,1
14nov.xls,toll,F15,=RAND(),0.453139295126401
14nov.xls,toll,G15,=7.75+F15*10,12.281392951264
14nov.xls,toll,H15,"=LOGINV(F15,2.64,1.139)",12.2545979580433
14nov.xls,toll,J15,=-LN(RAND())/B15,6.86169887133052
14nov.xls,toll,K15,=K14+J15,64.1661456920688
14nov.xls,toll,L15,=(1/$J$4)*(1+AB14),10
14nov.xls,toll,M15,"=L15+MAX(K15,Y$10:Y14)",77.3044468207383
14nov.xls,toll,N15,=K15,64.1661456920688
14nov.xls,toll,O15,=M15-K15,13.1383011286695
14nov.xls,toll,P15,=N15-K15,0
14nov.xls,toll,Q15,"=A15-MATCH(K15,$M$9:M14,1)",1
14nov.xls,toll,R15,=-G15*(O15/3600),-0.0448212885758959
14nov.xls,toll,S15,=-1*I15-(H15*(P15/3600)),-19.5
14nov.xls,toll,T15,=-H15*(O15/3600),-0.0447234994954309
14nov.xls,toll,U15,=T15-S15,19.4552765005046
14nov.xls,toll,V15,=1/(1+EXP(U15)),3.5537000662722e-09
14nov.xls,toll,W15,=RAND(),0.97129414238785
14nov.xls,toll,X15,"=IF(W15<V15,1,0)",0
14nov.xls,toll,Y15,=(M15*(1-X15)+N15*X15)*D15+M15*E15,77.3044468207383
14nov.xls,toll,Z15,=((1-X15)*O15+X15*P15)*D15+E15*O15,13.1383011286695
14nov.xls,toll,AA15,"=IF(D15*X15>0,AA14,Q15)",1
14nov.xls,toll,AB15,=(X15*D15),0
14nov.xls,toll,AC15,=SUM(AB$10:AB14)/K15,0
14nov.xls,toll,AD15,=R15*E15+D15*(X15*S15+(1-X15)*T15),-0.0448212885758959
14nov.xls,toll,AE15,=Z15,13.1383011286695
14nov.xls,toll,AF15,=E15*O15,13.1383011286695
14nov.xls,toll,AG15,=((1-X15)*O15+X15*P15)*D15,0
14nov.xls,toll,AH15,=D15*(LN(EXP(S15)+EXP(T15))),0
14nov.xls,toll,AJ15,=$J$5,10
14nov.xls,toll,AK15,"=AJ15+MAX(K15,AK$10:AK14)",77.3044468207383
14nov.xls,toll,AL15,=AK15-K15,13.1383011286695
14nov.xls,toll,AM15,=-G15*AL15/3600,-0.0448212885758959
14nov.xls,toll,AN15,=-H15*AL15/3600,-0.044723499495431
14nov.xls,toll,AO15,=AM15*E15+AN15*D15,-0.0448212885758959
14nov.xls,toll,AP15,=AL15*D15,0
14nov.xls,toll,AR15,=AN15*D15,0
14nov.xls,toll,AS15,=AH15-AR15,0
14nov.xls,toll,A16,=A15+1,7
14nov.xls,toll,B16,"=IF(A16<$N$4/3,0.1,(IF(A16>2*$N$4/3,0.05,0.12)))",0.1
14nov.xls,toll,C16,=RAND(),0.508258760953755
14nov.xls,toll,D16,"=IF((C16>$M$2),1,0)",0
14nov.xls,toll,E16,=1-D16,1
14nov.xls,toll,F16,=RAND(),0.144307757342918
14nov.xls,toll,G16,=7.75+F16*10,9.19307757342918
14nov.xls,toll,H16,"=LOGINV(F16,2.64,1.139)",4.18427959733546
14nov.xls,toll,J16,=-LN(RAND())/B16,26.5722650088893
14nov.xls,toll,K16,=K15+J16,90.7384107009581
14nov.xls,toll,L16,=(1/$J$4)*(1+AB15),10
14nov.xls,toll,M16,"=L16+MAX(K16,Y$10:Y15)",100.738410700958
14nov.xls,toll,N16,=K16,90.7384107009581
14nov.xls,toll,O16,=M16-K16,10
14nov.xls,toll,P16,=N16-K16,0
14nov.xls,toll,Q16,"=A16-MATCH(K16,$M$9:M15,1)",0
14nov.xls,toll,R16,=-G16*(O16/3600),-0.0255363265928588
