free way conditions,,,,,,,,,,,%vehicles,,total,,,statistix,,,max,,,CS,3.60948032968099,,,,,,,,,,,,,,,,total d,147854.679305261,,,,
,max,current,,freeway flow,,ramp meter rate,,by pass rate,,,car,0.9,906,,,toll veh,1,,q,67,,,,,,,,,,,,,,,,,,,total u,-591.05944864617,,,,
speed,65,25,,Q,,q1,,q2,,,truck,0.1,94,,,total u,-587.609382815455,,delay,672.096790023004,,,,,,,,,,,,,,,,,,,trucks-d,17585.236108813,,,,
density,120,75,,,,,,q1+q2,0.1,vps,,,1000,,,total delay,147177.208779751,,avg-q,14.232,,,,,,,,,,,,,,,,,,,,,,,,
# lanes,3,,,,,service time (max) (sec),,,10,,,,,,,(trucks),16907.7655833028,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d-nothing,,,,,,,,,
,,,,,,Value of Time($),,,,,ramp-meter,expected departure,,expected delay,,ramp,,Utility ,,,,,,,,,,,,,,,,,,expected,expected,utilities,,Utility ,trucks,,,
veh #,avg-h,rnd,truck tag,car tag,rnd,Car,truck,toll, headway,arrival time,service time,ramp,bypass,ramp,bypass,queue#,car,tolled,untolled,util diff,prob,rand,choice,departure,delay,actual q#,toll trucks,q2 (vps), util (veh),total (delay),delay(cars),delay(trucks),CS (toll),,service time,departure,delay,car,truck, util (veh),delay,,CS (dn),delta(CS)
21,0.1,0.336315066050941,0,1,0.451379428590003,12.2637942859,12.1927366734952,19.5,5.90582239347189,178.832703159985,10,240.738410700958,178.832703159985,61.9057075409728,0,6,-0.210888572890439,-19.5,-0.209666664064858,19.2903333359351,4.19097119903299e-09,0.26176195925259,0,240.738410700958,61.9057075409728,6,0,0,-0.210888572890439,61.9057075409728,61.9057075409728,0,0,,10,240.738410700958,61.9057075409728,-0.210888572890439,-0.209666664064858,-0.210888572890439,0,,0,0
22,0.1,0.264414262955543,0,1,0.185380757923004,9.60380757923005,5.0558223111828,19.5,4.93018974863904,183.762892908624,10,250.738410700958,183.762892908624,66.9755177923338,0,6,-0.178672218165798,-19.5,-0.094060088099306,19.4059399119007,3.73342454605048e-09,0.900803138565082,0,250.738410700958,66.9755177923338,6,0,0,-0.178672218165798,66.9755177923338,66.9755177923338,0,0,,10,250.738410700958,66.9755177923338,-0.178672218165798,-0.0940600880993059,-0.178672218165798,0,,0,0
23,0.1,0.50755009118657,0,1,0.956503292427376,17.3150329242738,98.4324293914024,19.5,5.28487853984784,189.047771448472,10,260.738410700958,189.047771448472,71.6906392524859,0,7,-0.344812716394174,-19.5,-1.96018994062356,17.5398100593764,2.41299969548674e-08,0.587823118790004,0,260.738410700958,71.6906392524859,7,0,0,-0.344812716394174,71.6906392524859,71.6906392524859,0,0,,10,260.738410700958,71.6906392524859,-0.344812716394174,-1.96018994062356,-0.344812716394174,0,,0,0
24,0.1,0.299028763621666,0,1,0.0450136835013189,8.20013683501319,2.03217452616405,19.5,7.53413952501393,196.581910973486,10,270.738410700958,196.581910973486,74.156499727472,0,7,-0.168914845825247,-19.5,-0.0418608193599055,19.4581391806401,3.54354150701121e-09,0.265324186551218,0,270.738410700958,74.156499727472,7,0,0,-0.168914845825247,74.156499727472,74.156499727472,0,0,,10,270.738410700958,74.156499727472,-0.168914845825247,-0.0418608193599055,-0.168914845825247,0,,0,0
25,0.1,0.163289199248461,0,1,0.80454553031099,15.7954553031099,37.2342119685946,19.5,28.7044869703451,225.286397943831,10,280.738410700958,225.286397943831,55.4520127571269,0,5,-0.243302719159077,-19.5,-0.573531110301132,18.9264688896989,6.03030108829992e-09,0.0068654360912597,0,280.738410700958,55.4520127571269,5,0,0,-0.243302719159077,55.4520127571269,55.4520127571269,0,0,,10,280.738410700958,55.4520127571269,-0.243302719159077,-0.573531110301132,-0.243302719159077,0,,0,0
26,0.1,0.297103158239691,0,1,0.629968402443428,14.0496840244343,20.4480115616603,19.5,0.381340455598639,225.66773839943,10,290.738410700958,225.66773839943,65.0706723015282,0,6,-0.253950662526105,-19.5,-0.369601627651849,19.1303983723482,4.91783041005356e-09,0.375775176968127,0,290.738410700958,65.0706723015282,6,0,0,-0.253950662526105,65.0706723015282,65.0706723015282,0,0,,10,290.738410700958,65.0706723015282,-0.253950662526105,-0.369601627651849,-0.253950662526105,0,,0,0
27,0.1,0.235366916857986,0,1,0.261305235426621,10.3630523542662,6.7653024815157,19.5,61.9941572186718,287.661895618102,10,300.738410700958,287.661895618102,13.0765150828564,0,1,-0.0376423917819424,-19.5,-0.0245740499832295,19.4754259500168,3.48281154715375e-09,0.298405533238691,0,300.738410700958,13.0765150828564,1,0,0,-0.0376423917819424,13.0765150828564,13.0765150828564,0,0,,10,300.738410700958,13.0765150828564,-0.0376423917819424,-0.0245740499832295,-0.0376423917819424,0,,0,0
28,0.1,0.352848670384227,0,1,0.623189670638538,13.9818967063854,20.0353178113154,19.5,3.70152922680051,291.363424844902,10,310.738410700958,291.363424844902,19.3749858560559,0,1,-0.0752497363686254,-19.5,-0.107828888671061,19.3921711113289,3.78518484477219e-09,0.493814121242215,0,310.738410700958,19.3749858560559,1,0,0,-0.0752497363686254,19.3749858560559,19.3749858560559,0,0,,10,310.738410700958,19.3749858560559,-0.0752497363686254,-0.107828888671061,-0.0752497363686254,0,,0,0
29,0.1,0.532594831868939,0,1,0.289845183375377,10.6484518337538,7.45719691691045,19.5,15.2695119035429,306.632936748445,10,320.738410700958,306.632936748445,14.105473952513,0,1,-0.0417226277710007,-19.5,-0.0292186935750667,19.4707813064249,3.4990255905091e-09,0.82569613084102,0,320.738410700958,14.105473952513,1,0,0,-0.0417226277710007,14.105473952513,14.105473952513,0,0,,10,320.738410700958,14.105473952513,-0.0417226277710008,-0.0292186935750667,-0.0417226277710008,0,,0,0
30,0.1,0.413707447642536,0,1,0.508069876224817,12.8306987622482,14.3398370013215,19.5,0.994033432743167,307.626970181188,10,330.738410700958,307.626970181188,23.1114405197698,0,2,-0.0823710920196619,-19.5,-0.0920595249775653,19.4079404750224,3.72596306068847e-09,0.777153931122416,0,330.738410700958,23.1114405197698,2,0,0,-0.0823710920196619,23.1114405197698,23.1114405197698,0,0,,10,330.738410700958,23.1114405197698,-0.0823710920196619,-0.0920595249775653,-0.0823710920196619,0,,0,0
